Rio de Janeiro | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Angra dos Reis,3300100,angrense,CL&Aacute;UDIO DE LIMA S&Iacute;RIO,813.420,167434,205.84,179120,96.4,0.724,14.05,2642047486.15,2105059175.00,53262.55,
Aperib&eacute;,3300159,aperibeense,RONALD DE C&Aacute;SSIO DAIBES MOREIRA,94.542,11034,116.71,11420,96.7,0.692,-,105849117.44,107688028.70,20698.33,
Araruama,3300209,araruamense,DANIELA CUINSE ABREU SOARES,638.276,129671,203.16,137773,98.3,0.718,12,1023913542.98,1110651415.00,31109.37,
Areal,3300225,arealense,JOS&Eacute; AUGUSTO BERNARDES LIMA,110.724,11828,106.82,12236,98,0.684,13.42,154233467.49,149695956.20,33490.89,
Arma&ccedil;&atilde;o dos B&uacute;zios,3300233,buziano,ALEXANDRE DE OLIVEIRA MARTINS,70.977,40006,563.65,42442,97.6,0.728,6.18,564286088.41,695630675.40,84721.42,
Arraial do Cabo,3300258,cabista,MARCELO MAGNO FELIX DOS SANTOS,152.106,30986,203.71,32794,99.2,0.733,17.95,674868698.99,594709659.80,87763.22,
Barra do Pira&iacute;,3300308,barrense,K&Aacute;TIA CRISTINA MIKI DA SILVA,584.610,92883,158.88,98501,98.7,0.733,11.38,357346815.02,437740598.60,26833.48,
Barra Mansa,3300407,barra-mansense,LUIZ ANT&Ocirc;NIO FURLANI FILHO,547.133,169894,310.52,181688,98.4,0.729,14.3,907755732.54,882140962.50,34816.53,
Belford Roxo,3300456,belford-roxense,MARCIO CORREIA DE OLIVEIRA,78.985,483087,6116.19,518263,96.2,0.684,15.2,1149927003.01,1302720147.00,17156.71,
Bom Jardim,3300506,bom-jardinense,AFFONSO HENRIQUES MONNERAT ALVES DA CRUZ,382.430,28102,73.48,29736,97.4,0.660,3.32,165896135.34,169930325.60,31941.54,
Bom Jesus do Itabapoana,3300605,bom-jesuense,PAULO SERGIO TRAVASSOS DO CARMO CYRILLO,596.659,35173,58.95,37172,98.1,0.732,11.98,239620161.13,228039748.10,24343.72,
Cabo Frio,3300704,cabo-friense,SERGIO LUIZ COSTA AZEVEDO FILHO,413.449,222161,537.34,238166,96.9,0.735,10.47,1511318949.52,1491209025.00,52801.54,
Cachoeiras de Macacu,3300803,cachoeirense,RAFAEL MUZZI DE MIRANDA,954.749,56943,59.64,59837,98.4,0.700,11.48,438779551.78,471608192.00,21885.51,
Cambuci,3300902,cambuciense,MURILLO SILVA DEFANTI,558.281,14616,26.18,15070,98.8,0.691,14.29,123807481.98,107380308.30,25807.81,
Carapebus,3300936,carapebuense,BERNARD TAVARES DIDIMO,304.885,13847,45.42,14325,98.7,0.713,15.38,209475363.57,168216181.10,43108.68,
Comendador Levy Gasparian,3300951,gaspariense,CLAUDIO MANNARINO,108.639,8741,80.46,9044,99.4,0.685,10.31,95126034.50,101374419.00,70311.39,
Campos dos Goytacazes,3301009,campista,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,4032.487,483540,119.91,519011,97.3,0.716,19.02,2984807494.62,3329065053.00,72243.98,
Cantagalo,3301108,cantagalense,EMANUELA TEIXEIRA SILVA,747.210,19390,25.95,19996,95.4,0.709,5.75,167688796.46,164059565.30,41730.95,
Cardoso Moreira,3301157,cardosense,GEANE CORDEIRO VINCLER,522.596,12958,24.80,13403,98.6,0.648,14.71,86234114.48,130644694.80,30853.68,
Carmo,3301207,carmense,SAMUEL SOARES DE LIMA,305.749,17198,56.25,17740,98.6,0.696,6.41,102677971.38,95446626.26,29286.22,
Casimiro de Abreu,3301306,casimirense,RAMON DIAS GIDALTE,462.918,46110,99.61,48563,98.5,0.726,10.58,575946749.70,552609443.40,51285.71,
Concei&ccedil;&atilde;o de Macabu,3301405,macabuense,VALMIR TAVARES LESSA,338.260,21104,62.39,21769,98.8,0.712,16.39,141024484.36,164770436.90,18426.37,
Cordeiro,3301504,cordeirense,LEONAN LOPES MELHORANCE,113.048,20783,183.84,21444,97.6,0.729,8.66,154181401.65,162280841.30,20592.99,
Duas Barras,3301603,bibarrense,ARMANDO ROSEMBERTO MATTOS TEIXEIRA,379.619,10980,28.92,11354,97.8,0.659,42.25,97548268.39,79305277.60,21553.24,
Duque de Caxias,3301702,caxiense,JONATHAS REGO MONTEIRO PORTO NETO,467.319,808161,1729.36,866347,96.1,0.711,15.62,4432566332.30,4566621664.00,57170.07,
Engenheiro Paulo de Frontin,3301801,fronteense,JOS&Eacute; EMMANOEL RODRIGUES ARTEMENKO,139.381,12242,87.83,12648,98.5,0.722,31.5,112646012.80,121172852.60,28769.59,
Guapimirim,3301850,guapimiriense,MARINA PEREIRA DA ROCHA FERNANDEZ,358.443,51696,144.22,54300,97.6,0.698,10.36,465794299.63,449068891.80,21920.68,
Iguaba Grande,3301876,iguabense,FABIO DE OLIVEIRA COSTA,50.977,27920,547.70,29577,98.1,0.761,12.12,376682339.57,395938267.40,21517.5,
Itabora&iacute;,3301900,itaboraiense,MARCELO JANDRE DELAROLI,429.961,224267,521.60,240040,97.1,0.693,9.44,1026461543.30,1084529334.00,23078.43,
Itagua&iacute;,3302007,itaguaiense,HAROLDO RODRIGUES DE JESUS NETO,282.607,116841,413.44,123980,97.6,0.715,10.42,996892945.01,1028448671.00,76916.73,
Italva,3302056,italvense,LEONARDO ORATO RANGEL,291.193,14073,48.33,14517,98.6,0.688,-,132105213.67,122981095.50,27215.6,
Itaocara,3302106,itaocarense,HERIBERTO PEREIRA DE OLIVEIRA,433.182,22919,52.91,23643,99.6,0.713,12.55,143001885.70,144725384.10,27396.34,
Itaperuna,3302205,itaperunense,EMANUEL MEDEIROS DA SILVA,1106.694,101041,91.30,107246,96.1,0.730,12.59,514852700.69,485113643.50,32533.22,
Itatiaia,3302254,itatiaiense,KAIO MARCIO RESENDE DE PAIVA,241.035,30908,128.23,32694,98.2,0.737,21,386526955.08,363288823.00,213339.67,
Japeri,3302270,japeriense,FERNANDA MACHADO ONTIVEROS,81.697,96289,1178.61,102149,96.6,0.659,17.56,366761094.69,414412689.30,14395.69,
Laje do Muria&eacute;,3302304,lajense,EUD&Oacute;CIO MOREIRA CARDOZO,253.530,7336,28.94,7584,98,0.668,-,88479925.84,80674335.10,25235.04,
Maca&eacute;,3302403,macaense,WELBERTH PORTO DE REZENDE,1216.989,246391,202.46,264138,96.9,0.764,14.66,3949268272.25,2802072767.00,66684.01,
Macuco,3302452,macuquense,MICHELLE BIANCHINI BISC&Aacute;CIO,78.364,5415,69.10,5601,97.7,0.703,10.31,81968414.08,75154115.89,38057.84,
Mag&eacute;,3302502,mageense,RENATO COZZOLINO HARB,390.775,228127,583.78,244092,97.7,0.709,15.46,912134753.16,1186191050.00,19237.2,
Mangaratiba,3302601,mangaratibense,LUIZ CLAUDIO DE SOUZA RIBEIRO,367.606,41220,112.13,43624,96.7,0.753,14.86,585167526.78,599477797.40,69913.59,
